molecular class	DOID	disease name	clinic classification
C2-2	DOID:1682	congenital heart disease	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C2-2	DOID:1342	congenital hypoplastic anemia	Diseases_of_the_blood_and_blood-forming_organs_and_certain_disorders_involving_the_immune_mechanism
C2-2	DOID:0050328	congenital hypothyroidism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0070126	congenital nongoitrous hypothyroidism 1	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0070124	congenital nongoitrous hypothyroidism 2	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0070127	congenital nongoitrous hypothyroidism 3	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0070123	congenital nongoitrous hypothyroidism 4	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0070125	congenital nongoitrous hypothyroidism 5	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0070128	congenital nongoitrous hypothyroidism 6	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2773	contact dermatitis	Diseases_of_the_skin_and_subcutaneous_tissue
C2-2	DOID:0090030	corticosteroid-binding globulin deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2917	cryoglobulinemia	Diseases_of_the_blood_and_blood-forming_organs_and_certain_disorders_involving_the_immune_mechanism
C2-2	DOID:11383	cryptorchidism	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C2-2	DOID:13271	cutaneous porphyria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090142	cystathioninuria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9266	cystinuria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:5214	demyelinating polyneuropathy	Diseases_of_the_nervous_system
C2-2	DOID:9409	diabetes insipidus	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2044	drug-induced hepatitis	Diseases_of_the_digestive_system
C2-2	DOID:10140	dry eye syndrome	Diseases_of_the_eye_and_adnexa
C2-2	DOID:12175	dyshormonogenic goiter	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060890	ectopic Cushing syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2034	encephalomalacia	Diseases_of_the_nervous_system
C2-2	DOID:13198	endemic goiter	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1428	endocrine pancreas disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:28	endocrine system disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2870	endometrial adenocarcinoma	Neoplasms
C2-2	DOID:289	endometriosis	Diseases_of_the_genitourinary_system
C2-2	DOID:288	endometriosis of uterus	Diseases_of_the_genitourinary_system
C2-2	DOID:12932	endomyocardial fibrosis	Diseases_of_the_circulatory_system
C2-2	DOID:14087	epicondylitis	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C2-2	DOID:13270	erythropoietic protoporphyria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14336	estrogen excess	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:5003	eunuchism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2856	euthyroid sick syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:5614	eye disease	Diseases_of_the_eye_and_adnexa
C2-2	DOID:13809	familial combined hyperlipidemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13810	familial hypercholesterolemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060699	familial hypocalciuric hypercalcemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060700	familial hypocalciuric hypercalcemia 1	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060701	familial hypocalciuric hypercalcemia 2	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060702	familial hypocalciuric hypercalcemia 3	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14118	familial lipoprotein lipase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9452	fatty liver disease	Diseases_of_the_digestive_system
C2-2	DOID:5204	fructose-1,6-bisphosphatase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14500	fucosidosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14695	galactokinase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9870	galactosemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2368	gangliosidosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14080	glucocorticoid-remediable aldosteronism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111037	glycine N-methyltransferase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9268	glycine encephalopathy	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2747	glycogen storage disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2749	glycogen storage disease I	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2748	glycogen storage disease III	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2750	glycogen storage disease IV	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111042	glycogen storage disease IXa	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111041	glycogen storage disease IXb	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111043	glycogen storage disease IXc	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111040	glycogen storage disease IXd	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2746	glycogen storage disease V	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2754	glycogen storage disease VI	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:11721	glycogen storage disease VII	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12176	goiter	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2277	gonadal disease	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C2-2	DOID:14447	gonadal dysgenesis	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C2-2	DOID:114	heart disease	Diseases_of_the_circulatory_system
C2-2	DOID:2352	hemochromatosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111029	hemochromatosis type 1	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111034	hemochromatosis type 2	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111031	hemochromatosis type 5	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13269	hereditary coproporphyria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9869	hereditary fructose intolerance syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9265	histidine metabolism disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9263	homocystinuria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:11613	hyperandrogenism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9278	hyperargininemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12678	hypercalcemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13317	hyperinsulinemic hypoglycemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2018	hyperinsulinism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1172	hyperlipoproteinemia type IV	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9274	hyperlysinemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111038	hypermethioninemia due to adenosine kinase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111039	hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13543	hyperparathyroidism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12700	hyperprolactinemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9972	hypervitaminosis A	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9971	hypervitaminosis D	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13868	hypoactive sexual desire disorder	Mental_and_behavioural_disorders
C2-2	DOID:9993	hypoglycemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1607	hypoglycemic coma	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1924	hypogonadism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090070	hypogonadotropic hypogonadism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090094	hypogonadotropic hypogonadism 1 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090089	hypogonadotropic hypogonadism 10 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090071	hypogonadotropic hypogonadism 11 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090072	hypogonadotropic hypogonadism 12 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090073	hypogonadotropic hypogonadism 13 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090087	hypogonadotropic hypogonadism 14 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090080	hypogonadotropic hypogonadism 16 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090079	hypogonadotropic hypogonadism 17 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090076	hypogonadotropic hypogonadism 18 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090090	hypogonadotropic hypogonadism 19 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090083	hypogonadotropic hypogonadism 2 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090082	hypogonadotropic hypogonadism 20 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090093	hypogonadotropic hypogonadism 21 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090081	hypogonadotropic hypogonadism 22 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090088	hypogonadotropic hypogonadism 24 without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090092	hypogonadotropic hypogonadism 3 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090077	hypogonadotropic hypogonadism 4 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090084	hypogonadotropic hypogonadism 5 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090086	hypogonadotropic hypogonadism 6 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090078	hypogonadotropic hypogonadism 7 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090074	hypogonadotropic hypogonadism 8 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090085	hypogonadotropic hypogonadism 9 with or without anosmia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1387	hypolipoproteinemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060787	hypomyelinating leukodystrophy 2	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060790	hypomyelinating leukodystrophy 3	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060789	hypomyelinating leukodystrophy 4	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060798	hypomyelinating leukodystrophy 6	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060791	hypomyelinating leukodystrophy 9	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:11199	hypoparathyroidism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14213	hypophosphatasia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9406	hypopituitarism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1459	hypothyroidism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060858	hypotonia-cystinuria syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090110	immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:3401	inappropriate ADH syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:5223	infertility	Diseases_of_the_genitourinary_system
C2-2	DOID:1063	interstitial nephritis	Diseases_of_the_genitourinary_system
C2-2	DOID:0060883	intestinal hypomagnesemia 1	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:8446	intussusception	Diseases_of_the_digestive_system
C2-2	DOID:1406	iritis	Diseases_of_the_eye_and_adnexa
C2-2	DOID:2351	iron metabolism disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060870	isolated growth hormone deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060873	isolated growth hormone deficiency type IA	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060874	isolated growth hormone deficiency type IB	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060872	isolated growth hormone deficiency type II	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060875	isolated growth hormone deficiency type III	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14753	isovaleric acidemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:10126	keratoconus	Diseases_of_the_eye_and_adnexa
C2-2	DOID:2734	keratosis follicularis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:10604	lactose intolerance	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:230	lateral sclerosis	Diseases_of_the_nervous_system
C2-2	DOID:0090101	lethal congenital glycogen storage disease of heart	Diseases_of_the_nervous_system
C2-2	DOID:0060868	leukoencephalopathy with vanishing white matter	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9455	lipid storage disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:614	lymphopenia	Diseases_of_the_blood_and_blood-forming_organs_and_certain_disorders_involving_the_immune_mechanism
C2-2	DOID:12336	male infertility	Diseases_of_the_genitourinary_system
C2-2	DOID:48	male reproductive system disease	Diseases_of_the_genitourinary_system
C2-2	DOID:9269	maple syrup urine disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0050524	maturity-onset diabetes of the young	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12257	medulloadrenal hyperfunction	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13186	megaesophagus	Certain_infectious_and_parasitic_diseases
C2-2	DOID:10581	metachromatic leukodystrophy	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060742	methylmalonic acidemia cblA type	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060743	methylmalonic acidemia cblB type	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060741	methylmalonic acidemia due to transcobalamin receptor defect	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060740	methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060332	mitochondrial complex V (ATP synthase) deficiency nuclear type 3	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060333	mitochondrial complex V (ATP synthase) deficiency nuclear type 4	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0050768	mitochondrial complex V (ATP synthase) deficiency, nuclear type 1	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0111165	molybdenum cofactor deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:231	motor neuron disease	Diseases_of_the_nervous_system
C2-2	DOID:12798	mucopolysaccharidosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12802	mucopolysaccharidosis I	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12799	mucopolysaccharidosis II	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12801	mucopolysaccharidosis III	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12804	mucopolysaccharidosis IV	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:11824	multicentric reticulohistiocytosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060358	multiple acyl-CoA dehydrogenase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:10017	multiple endocrine neoplasia type 1	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0050430	multiple endocrine neoplasia type 2A	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:10016	multiple endocrine neoplasia type 2B	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:767	muscular atrophy	Diseases_of_the_nervous_system
C2-2	DOID:423	myopathy	Diseases_of_the_nervous_system
C2-2	DOID:11634	myxedema	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1184	nephrotic syndrome	Diseases_of_the_genitourinary_system
C2-2	DOID:14503	neuronal ceroid lipofuscinosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110721	neuronal ceroid lipofuscinosis 1	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110725	neuronal ceroid lipofuscinosis 10	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110732	neuronal ceroid lipofuscinosis 11	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110727	neuronal ceroid lipofuscinosis 13	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110726	neuronal ceroid lipofuscinosis 2	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110731	neuronal ceroid lipofuscinosis 3	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110730	neuronal ceroid lipofuscinosis 4A	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110720	neuronal ceroid lipofuscinosis 4B	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110728	neuronal ceroid lipofuscinosis 5	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110729	neuronal ceroid lipofuscinosis 6	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110722	neuronal ceroid lipofuscinosis 7	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110723	neuronal ceroid lipofuscinosis 8	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110724	neuronal ceroid lipofuscinosis 8 northern epilepsy variant	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110733	neuronal ceroid lipofuscinosis 9	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13195	nontoxic goiter	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:611	obsolete leukocyte-adhesion deficiency syndrome	Diseases_of_the_blood_and_blood-forming_organs_and_certain_disorders_involving_the_immune_mechanism
C2-2	DOID:0110748	obsolete type 1 diabetes mellitus 9	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14223	ochronosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0090100	ocular albinism with sensorineural deafness	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1056	oculocerebrorenal syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0050632	oculocutaneous albinism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1067	open-angle glaucoma	Diseases_of_the_eye_and_adnexa
C2-2	DOID:1210	optic neuritis	Diseases_of_the_eye_and_adnexa
C2-2	DOID:10175	optic papillitis	Diseases_of_the_eye_and_adnexa
C2-2	DOID:2518	orchitis	Diseases_of_the_genitourinary_system
C2-2	DOID:9271	ornithine carbamoyltransferase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:11476	osteoporosis	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C2-2	DOID:5425	ovarian hyperstimulation syndrome	Diseases_of_the_genitourinary_system
C2-2	DOID:9410	panhypopituitarism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13732	panophthalmitis	Diseases_of_the_eye_and_adnexa
C2-2	DOID:146	papilledema	Diseases_of_the_eye_and_adnexa
C2-2	DOID:607	paraplegia	Diseases_of_the_nervous_system
C2-2	DOID:11201	parathyroid gland disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2712	phimosis	Diseases_of_the_genitourinary_system
C2-2	DOID:3829	pituitary adenoma	Neoplasms
C2-2	DOID:4916	pituitary carcinoma	Neoplasms
C2-2	DOID:3946	pituitary-dependent Cushing's disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9667	placental abruption	Pregnancy,_childbirth_and_the_puerperium
C2-2	DOID:9600	plantar fasciitis	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C2-2	DOID:10192	pleomorphic lipoma	Neoplasms
C2-2	DOID:11612	polycystic ovary syndrome	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13268	porphyria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:3132	porphyria cutanea tarda	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2181	post-surgical hypoinsulinemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9478	postpartum depression	Mental_and_behavioural_disorders
C2-2	DOID:1458	postsurgical hypothyroidism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:10787	premature menopause	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:5426	premature ovarian failure	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:727	premenstrual tension	Diseases_of_the_genitourinary_system
C2-2	DOID:9286	priapism	Diseases_of_the_genitourinary_system
C2-2	DOID:446	primary hyperaldosteronism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:2977	primary hyperoxaluria	Symptoms,_signs_and_abnormal_clinical_and_laboratory_findings,_not_elsewhere_classified
C2-2	DOID:11202	primary hyperparathyroidism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060879	primary hypomagnesemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:3911	progeria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:318	progressive muscular atrophy	Diseases_of_the_nervous_system
C2-2	DOID:14701	propionic acidemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:4184	pseudohypoparathyroidism	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9498	pulmonary eosinophilia	Diseases_of_the_respiratory_system
C2-2	DOID:12197	punctate epithelial keratoconjunctivitis	Diseases_of_the_eye_and_adnexa
C2-2	DOID:1340	pure red-cell aplasia	Diseases_of_the_blood_and_blood-forming_organs_and_certain_disorders_involving_the_immune_mechanism
C2-2	DOID:653	purine-pyrimidine metabolic disorder	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:3651	pyruvate carboxylase deficiency disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:3649	pyruvate decarboxylase deficiency	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9432	renal glycosuria	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060885	renal hypomagnesemia 2	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060880	renal hypomagnesemia 3	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060882	renal hypomagnesemia 4	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0060884	renal hypomagnesemia 6	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:6929	retinal edema	Diseases_of_the_eye_and_adnexa
C2-2	DOID:10584	retinitis pigmentosa	Diseases_of_the_eye_and_adnexa
C2-2	DOID:2580	rhizomelic chondrodysplasia punctata	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:10609	rickets	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13724	scurvy	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:1927	sphingolipidosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:319	spinal cord disease	Diseases_of_the_nervous_system
C2-2	DOID:12377	spinal muscular atrophy	Diseases_of_the_nervous_system
C2-2	DOID:7165	subacute thyroiditis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:14350	suppurative thyroiditis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:12029	sympathetic ophthalmia	Diseases_of_the_eye_and_adnexa
C2-2	DOID:225	syndrome	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C2-2	DOID:14365	systemic primary carnitine deficiency disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9651	systolic heart failure	Diseases_of_the_circulatory_system
C2-2	DOID:970	tenosynovitis	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C2-2	DOID:533	thymus gland disease	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:7166	thyroiditis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:7997	thyrotoxicosis	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9744	type 1 diabetes mellitus	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110749	type 1 diabetes mellitus 10	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110750	type 1 diabetes mellitus 11	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110751	type 1 diabetes mellitus 12	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110752	type 1 diabetes mellitus 13	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110753	type 1 diabetes mellitus 15	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110754	type 1 diabetes mellitus 17	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110755	type 1 diabetes mellitus 18	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110756	type 1 diabetes mellitus 19	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110741	type 1 diabetes mellitus 2	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110757	type 1 diabetes mellitus 20	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110758	type 1 diabetes mellitus 21	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110759	type 1 diabetes mellitus 22	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110760	type 1 diabetes mellitus 23	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110761	type 1 diabetes mellitus 24	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110742	type 1 diabetes mellitus 3	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110743	type 1 diabetes mellitus 4	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110744	type 1 diabetes mellitus 5	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110745	type 1 diabetes mellitus 6	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110746	type 1 diabetes mellitus 7	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:0110747	type 1 diabetes mellitus 8	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9275	tyrosinemia	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:9267	urea cycle disorder	Endocrine,_nutritional_and_metabolic_diseases
C2-2	DOID:13141	uveitis	Diseases_of_the_eye_and_adnexa
C2-2	DOID:2170	vaginitis	Diseases_of_the_genitourinary_system
